1,ewithrop0,X544419Q,0,false,false
2,gkeld1,w23j37Tt,1,false,false
3,gattenbarrow2,98za54M8,0,true,false
4,gjosephoff3,3zL3r5Xv,1,false,true
5,celbourne4,uTZ8leK5,0,true,false
6,csporton5,dQa1E1fV,0,true,true
7,rcramer6,xZ2pixxH,0,false,true
8,jbouda7,EGm15ar0,0,true,true
9,crotherham8,n20YrhDG,0,true,false
10,ngwinnell9,756ctB0g,1,false,true
11,erobillarda,X3RMX981,1,false,true
12,astokeyb,gJa5D11B,1,true,true
13,vburdekinc,Bc22K3aR,1,true,false
14,otenbroekd,6eiO2qRW,1,true,false
15,sdinceye,MY60g07x,0,true,true
16,mdanbyef,15I7tIvy,0,true,false
17,blyallg,JUEPE04g,1,true,false
18,lsuggh,MAXE887W,1,true,true
19,mbelli,OHUUF563,1,false,true
20,wpendletonj,YvR5pCno,1,true,false
21,hjansk,xrN98FJK,0,false,false
22,lsparel,BOY1MZ2s,1,false,true
23,cnethercottm,3sRD3EpV,0,false,true
24,tmandaln,19CML7xm,1,true,false
25,drawlenceo,ZF617sHW,1,true,true
26,jsleep,89k8ewf0,1,true,true
27,nolandaq,34ts5F3x,1,false,true
28,cwandr,DGLRQ0sB,0,true,true
29,acurdss,3Doql8P3,1,false,false
30,bscogganst,Eq3Kz71i,0,false,false
31,gcamoisu,df594CR5,1,true,false
32,gdallawayv,92wv3gcg,0,true,false
33,ttomczynskiw,6XE2mZv4,1,true,false
34,kfineyx,z4vwGKIw,1,false,true
35,eheddeny,l4cg9GDd,1,true,false
36,mserjeantsonz,08wvS9h4,1,false,true
37,yseedman10,38PJB4ou,0,false,true
38,gevens11,W40t3R3y,1,true,false
39,gaitcheson12,Qy157vCX,1,false,false
40,mmcgoogan13,9Q34xqnr,0,false,false
41,ljain14,n5902b1s,1,true,true
42,ebentinck15,wbs3Cipa,1,false,true
43,bnesterov16,ebOCc958,1,false,false
44,shaysey17,nyTc7rW0,0,true,false
45,glatchmore18,O7vvt719,0,true,true
46,cglencorse19,9sFj57r3,1,true,false
47,kmasarrat1a,P333f2TG,1,true,true
48,adowtry1b,zOv52hiN,1,false,false
49,bcornelissen1c,37sNCdYZ,0,false,true
50,hcollingwood1d,e4qP93i1,1,false,false
